Token,Length,Frequency
de,2,114
la,2,75
y,1,75
a,1,69
el,2,35
derecho,7,35
en,2,33
su,2,29
los,3,28
tiene,5,27
Artículo,8,26
que,3,24
persona,7,24
Toda,4,21
por,3,20
o,1,20
del,3,14
derechos,8,14
se,2,12
libertad,8,11
como,4,11
un,2,9
una,3,9
contra,6,8
ser,3,8
las,3,8
al,2,8
Nadie,5,7
protección,10,7
La,2,7
para,4,7
cualquier,9,7
igual,5,7
será,4,7
país,4,7
Considerando,12,7
no,2,7
tienen,6,6
sus,3,6
familia,7,6
matrimonio,10,6
trabajo,7,5
religión,8,5
dignidad,8,5
ley,3,5
sin,3,5
ni,2,5
social,6,5
e,1,5
hombre,6,4
Todos,5,4
humanos,7,4
actos,5,4
mediante,8,4
alguna,6,4
podrá,5,4
libre,5,4
Declaración,11,4
iguales,7,4
nacional,8,4
internacional,13,4
vida,4,4
nacionalidad,12,4
tanto,5,4
libertades,10,4
caso,4,4
han,3,4
sociedad,8,3
más,3,3
igualdad,8,3
todas,5,3
reconocimiento,14,3
entre,5,3
otra,4,3
voluntad,8,3
arbitrariamente,15,3
con,3,3
limitación,10,3
otros,5,3
fundamentales,13,3
territorio,10,3
instrucción,11,3
público,7,3
Todo,4,3
Unidas,6,3
esta,4,3
pueblos,7,3
educación,9,3
le,2,3
distinción,10,3
así,3,3
Estado,6,3
conciencia,10,3
discriminación,14,3
toda,4,3
humana,6,3
Naciones,8,3
es,2,3
sometido,8,3
condiciones,11,3
personalidad,12,2
conforme,8,2
desempleo,9,2
propiedad,9,2
condición,9,2
ante,4,2
medio,5,2
opinión,7,2
asistencia,10,2
Miembros,8,2
raza,4,2
efectivo,8,2
cambiar,7,2
seres,5,2
este,4,2
mundo,5,2
General,7,2
u,1,2
libremente,10,2
recurso,7,2
incluye,7,2
asociación,10,2
creencia,8,2
bajo,4,2
mujeres,7,2
jurídica,8,2
seguridad,9,2
pleno,5,2
asegure,7,2
Humanos,7,2
colectivamente,14,2
expresión,9,2
acceso,6,2
delito,6,2
injerencias,11,2
base,4,2
promover,8,2
opiniones,9,2
voto,4,2
fundamental,11,2
medios,6,2
universal,9,2
respeto,7,2
privado,7,2
Asamblea,8,2
esclavitud,10,2
común,5,2
Universal,9,2
individual,10,2
ataques,7,2
justicia,8,2
fundar,6,2
todos,5,2
momento,7,2
defensa,7,2
enseñanza,9,2
Derechos,8,2
sociales,8,2
naciones,8,2
individuo,9,2
trata,5,2
elemental,9,2
Derecho,7,2
política,8,2
A,1,2
cooperación,11,2
nivel,5,2
independiente,13,2
hombres,7,2
esencial,8,2
desarrollo,10,2
Estados,7,2
jurisdicción,12,2
deben,5,2
están,5,2
ella,4,2
estos,5,2
fin,3,2
competentes,11,1
detenido,8,1
liberados,9,1
secreto,7,1
penal,5,1
descanso,8,1
delitos,7,1
sexo,4,1
disfrutar,9,1
acusación,9,1
manifestar,10,1
esposos,7,1
consentimiento,14,1
cuanto,6,1
molestado,9,1
humano,6,1
disfrutarán,11,1
públicas,8,1
efectivos,9,1
circunstancias,14,1
instituciones,13,1
correspondencia,15,1
Además,6,1
organización,12,1
originada,9,1
técnica,7,1
necesarios,10,1
miembros,8,1
condenado,9,1
universales,11,1
omisiones,9,1
materia,7,1
vacaciones,10,1
elevada,7,1
creencias,9,1
partir,6,1
diciembre,9,1
obligado,8,1
casos,5,1
necesarias,10,1
vivienda,8,1
fronteras,9,1
tiempo,6,1
constantemente,14,1
temor,5,1
cumplimiento,12,1
preso,5,1
reafirmado,10,1
futuros,7,1
medidas,7,1
unos,4,1
observancia,11,1
equivalente,11,1
residencia,10,1
fueron,6,1
intereses,9,1
nacimiento,10,1
opuestos,8,1
importancia,11,1
participar,10,1
cuenta,6,1
dotados,7,1
supremo,7,1
enfermedad,10,1
amistosas,9,1
comisión,8,1
motivos,7,1
prohibidas,10,1
alimentación,12,1
edad,4,1
protegidos,10,1
son,3,1
crueles,7,1
acusada,7,1
causa,5,1
vestido,7,1
durante,7,1
pena,4,1
otro,4,1
arbitrarias,11,1
sean,4,1
judicial,8,1
razón,5,1
imparcial,9,1
procedimiento,13,1
cada,4,1
asimismo,8,1
habrá,5,1
concepción,10,1
privará,7,1
elecciones,10,1
garantice,9,1
territorios,11,1
asilo,5,1
personal,8,1
especiales,10,1
violen,6,1
progreso,8,1
satisfacción,12,1
fundada,7,1
especial,8,1
inspirándose,12,1
seguros,7,1
Los,3,1
equitativa,10,1
maternidad,10,1
tod,3,1
poder,5,1
investigar,10,1
elección,8,1
restricción,11,1
objeto,6,1
proclamados,11,1
miseria,7,1
barbarie,8,1
difundirlas,11,1
acción,6,1
debe,4,1
penas,5,1
resueltos,9,1
intrínseca,10,1
cuya,4,1
tribunal,8,1
garantías,9,1
aspiración,10,1
examen,6,1
satisfactorias,14,1
gobierno,8,1
directamente,12,1
culpabilidad,12,1
circular,8,1
plena,5,1
salario,7,1
disolución,10,1
nacidos,7,1
expresará,9,1
incluso,7,1
aseguren,8,1
gratuita,8,1
juicio,6,1
Carta,5,1
trabaja,7,1
advenimiento,12,1
principios,10,1
libres,6,1
constitución,12,1
color,5,1
pérdida,7,1
hayan,5,1
colocados,9,1
sindicatos,10,1
privada,7,1
Organización,12,1
asegurar,8,1
disfruten,9,1
viudez,6,1
carácter,8,1
proclamada,10,1
regresar,8,1
pensamiento,11,1
fraternalmente,14,1
comportarse,11,1
índole,6,1
impondrá,8,1
satisfactoria,13,1
pagadas,7,1
duración,8,1
ha,2,1
resolución,10,1
declarado,9,1
compromiso,10,1
dicho,5,1
práctica,8,1
reunión,7,1
individuos,10,1
honra,5,1
completada,10,1
sufragio,8,1
cometerse,9,1
superiores,10,1
pueblo,6,1
dependa,7,1
fuera,5,1
culturales,10,1
reconocidos,11,1
representantes,14,1
valor,5,1
pertenecer,10,1
recursos,8,1
propio,6,1
escogidos,9,1
habrán,6,1
también,7,1
presente,8,1
concepto,8,1
nacionales,10,1
indispensables,14,1
natural,7,1
progresivas,11,1
existencia,10,1
opresión,8,1
obligatoria,11,1
desconocimiento,15,1
partes,6,1
auténticas,10,1
pacíficas,9,1
estudios,8,1
compelido,9,1
invalidez,9,1
subsistencia,12,1
Preámbulo,9,1
nacen,5,1
recibir,7,1
infrinja,8,1
culto,5,1
miembro,7,1
habida,6,1
torturas,8,1
origen,6,1
determinación,13,1
aplicable,9,1
menosprecio,11,1
provocación,11,1
grave,5,1
ampare,6,1
Este,4,1
salud,5,1
tal,3,1
rebelión,8,1
mientras,8,1
aplicación,10,1
elemento,8,1
inalienables,12,1
propósitos,10,1
obligaciones,12,1
ultrajantes,11,1
necesario,9,1
relaciones,10,1
amplio,6,1
informaciones,13,1
profesional,11,1
servicios,9,1
reputación,10,1
bienestar,9,1
núbil,5,1
independientes,14,1
tratos,6,1
sindicarse,10,1
delictivos,10,1
Proclama,8,1
asegurado,9,1
degradantes,11,1
pruebe,6,1
periódicamente,14,1
esfuerzo,8,1
III,3,1
periódicas,10,1
palabra,7,1
si,2,1
elevar,6,1
originado,9,1
En,2,1
paz,3,1
según,5,1
presuma,7,1
vejez,5,1
obtener,7,1
infancia,8,1
hará,4,1
disfrute,8,1
tiranía,7,1
celebrarse,10,1
funciones,9,1
invocado,8,1
tribunales,10,1
fe,2,1
tales,5,1
servidumbre,11,1
domicilio,9,1
proclamado,10,1
económica,9,1
humanidad,9,1
buscar,6,1
esclavos,8,1
desterrado,10,1
vea,3,1
autoridad,9,1
inhumanos,9,1
posición,8,1
contraerse,10,1
comprometido,12,1
económicos,10,1
realmente,9,1
razonable,9,1
mayor,5,1
soberanía,9,1
menos,5,1
remuneración,12,1
oída,4,1
promuevan,9,1
comunes,7,1
ideal,5,1
dentro,6,1
nadie,5,1
adecuado,8,1
fiduciaria,10,1
estará,6,1
inocencia,9,1
Sólo,4,1
cualesquiera,12,1
médica,6,1
lo,2,1
generalizada,12,1
formas,6,1
salir,5,1
casarse,7,1
persecución,11,1
públicamente,12,1
él,2,1
administración,14,1
autónomo,8,1
régimen,7,1
idioma,6,1
Adoptada,8,1
esforzarse,10,1
concerniente,12,1
equitativas,11,1
elegir,6,1
Tampoco,7,1
niños,5,1
cuidados,8,1
